"field_name",count
StandbySuspendSuspendDevicesChange,8
StandbySuspendSwapInWorkerThreads,8
StandbySuspendSwapInWorkerThreadsChange,8
StandbySuspendTotal,8
StandbySuspendTotalChange,8
StandbySuspendWinlogon,8
StandbySuspendWinlogonChange,8
StandbyTsVersion,8
StartAddress,198
StartFunction,198
StartModule,198
StartTime,762
StartTimeOfDay,60
StartType,1710
State,11246
"State Machine",24530
"State Machine Name",24530
StateTransition,16
StateTransitionName,20
Status,237316
StatusCode,296
StopTime,132
StorageAdapter,804
StorageId,1832
"Store Client Version",162
"Store QFE Version",162
String1,5434
String2,5342
String3,578
SubStatus,3180
SubjectDomainName,350902
SubjectLogonId,350902
SubjectUserName,350902
SubjectUserSid,350902
SubscriptionManagerAddress,88
SummaryError,34
SupportInfo1,1718
SupportInfo2,1718
SystemBootInstance,284
SystemPNPInitDuration,284
SystemPNPInitStartTimeMS,284
SystemSleepTransitionsToOn,8
SystemVolume,1832
TSId,582
TTL,1530
Target,110
TargetDomainName,503482
TargetFilename,14226
TargetID,4766
TargetImage,198
TargetInfo,28618
TargetLinkedLogonId,12692
TargetLogonGuid,28618
TargetLogonId,375296
TargetObject,3094
TargetOutboundDomainName,12692
TargetOutboundUserName,12692
TargetPlatform,1866
TargetProcessGuid,198
TargetProcessId,198
TargetServerName,28618
TargetSid,48736
TargetUserName,595588
TargetUserSid,378476
TargetVolumeGuid,1032
Task,3650
TaskEngineName,21204
TaskEntryPoint,7182
TaskId,11578
TaskInstanceId,52272
TaskName,192632
TerminalSessionId,243224
TestSigning,44
TetheringClientCountChanged,8646
TetheringOperationalStateChanged,8646
"Thread ID",24530
ThreadID,282
ThresholdInkbps,2524
ThrottleStateCount,116
TicketEncryptionType,93620
TicketOptions,93620
Tiles,24
"Time Zone",24
TimeDifferenceMilliseconds,6
TimeSampleSeconds,6
TimeSource,240
TimeWaitedAtStartup,30
TimeZoneId,92
Timestamp,48
To,422
TokenElevationType,586
TokenType,248
TotalBytes,59962
TotalBytesBucketsCount,2538
TotalLatencyUs,68314
TotalTime,606
TotalXPaths,472
TrID,5146
TraceMessage,20
TrackingId,14
TransmittedServices,243266
TransportProtocolName,40
TransportType,56
TreeId,46928
TrimExtentsCount,2402
TrimLatencyBucket1,200
TrimLatencyBucket2,200
TrimLatencyBucket3,200
TrimLatencyBucket4,200
TrimLatencyBucket5,200
TrimLatencyBucket6,200
TrimLatencyBucket7,200
"Try Count",772
TunnelID,286
Turn,4
TxnTimeInMSec,44
Type,4216
UniqueIdLength,230
UnsynchronizedTimeSeconds,6
"Update Source",1368
"Update Source Index",1368
"Update State",1360
"Update State Index",1360
"Update Type",1420
"Update Type Index",1420
UpdatePath,366
UpdateType,6
UpperFilters,20
Uri,20
Url,4
User,628774
UserAccountControl,538
UserBootInstance,284
UserContext,52824
UserData,10
UserDomain,1406
UserId,2570
UserLogonWaitDuration,284
UserName,10554
UserNameLength,48
UserParameters,1454
UserPrincipalName,1454
UserSid,1360
UserStorage,174
UserWorkstations,1454
Username,1674
UtcTime,614682
Value,106
Vendor,1530
Verb,5146
VerboseLog,40
Version,4148
VersionLength,520
VirtualAccount,12692
VolumeCorrelationId,2738
VolumeFlushAvgLatencyNs,2538
VolumeFlushCount,2538
VolumeGuid,1010
VolumeName,3748
VolumeNameLength,3748
VolumePath,48
VolumeTrimAvgLatencyNs,2538
VolumeTrimCount,2538
VolumeTrimExtentsCount,2538
VolumeTrimTotalBytes,2538
VolumeUniqueId,278
VsmLaunchType,44
VsmPolicy,44
"WaitDuration_ms",1124
WasConnected,22
WatchdogTimeoutInMSec,44
WinLogonStartTimeMS,284
WinlogonReturnTimeElapsedInMilliseconds,1218
WorkItemName,22
Workstation,88466
WorkstationName,177478
WwanRegistrationStateChanged,8646
XPath,2212
Zone,1546
ZoneFile,14
ZoneScope,1530
authFailureMessage,140
bandwidthLimit,6018
bytesTotal,8310
bytesTransferred,10324
bytesTransferredFromPeer,10324
cid,12
commandId,26
connection,166
correlationId,46
data1,402
elapsedTime,2
error,52
errorCode,2046
errorMessage,46
fAutoDetect,28
fileCount,3294
fileLength,8310
fileTime,8310
flowId,218
flowName,264
hLastError,482
hResult,484
"hc_stateid",5324
hr,6018
hrError,26184
ignoreBandwidthLimitsOnLan,6018
int0,76
int2,74
job,612
jobId,3762
jobOwner,3762
jobTitle,3762
logSourceName,46
message,4
message2,4
methodName,5424
name,8310
namespaceName,5424
number,242
operationName,22654
operatorName,46
optionCode,1630
optionName,1630
